precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat,dem_advantage
20596,0070006A,Los Angeles,Unincorporated,17,Progressive,8,Not Competitive,37.8,1330,72.1,61.06,23.25,Mainstream Dem,37.8
20464,4050051A,Los Angeles,Malibu,18,Progressive,28,Not Competitive,19.68,2035,68.65,50.58,30.91,Mainstream Dem,19.68
19717,9001382A,Los Angeles,Los Angeles,18,Progressive,7,Not Competitive,34.89,2344,76.18,58.58,23.69,Mainstream Dem,34.89
24354,0084014,Ventura,Simi Valley,18,Progressive,51,Competitive,14.29,492,52.33,35.45,49.74,Mainstream Dem,-14.29
23787,0084065,Ventura,Simi Valley,18,Progressive,85,Highly Competitive,3.1,784,54.43,39.79,42.89,Mainstream Dem,-3.1
23737,0006924,Ventura,Camarillo,18,Progressive,26,Not Competitive,22.67,365,64.04,50.0,27.33,Mainstream Dem,22.67
23772,0092017,Ventura,Thousand Oaks,18,Progressive,35,Competitive,12.18,634,57.07,46.13,33.95,Mainstream Dem,12.18
24293,0044014,Ventura,Unincorporated,19,Progressive,13,Not Competitive,24.93,672,61.25,54.2,29.27,Mainstream Dem,24.93
24287,0044011,Ventura,Unincorporated,19,Progressive,8,Not Competitive,33.33,664,59.04,58.17,24.84,Mainstream Dem,33.33
19377,4060001A,Los Angeles,Unincorporated,19,Progressive,22,Not Competitive,31.24,794,69.78,55.06,23.82,Mainstream Dem,31.24
24795,0007003,Ventura,Camarillo,19,Progressive,34,Competitive,19.87,403,54.45,50.0,30.13,Mainstream Dem,19.87
23996,0092097,Ventura,Thousand Oaks,19,Progressive,44,Competitive,9.02,671,58.39,45.36,36.34,Mainstream Dem,9.02
23634,0092103,Ventura,Thousand Oaks,20,Progressive,25,Not Competitive,24.42,744,64.35,52.33,27.91,Mainstream Dem,24.42
24728,0007029,Ventura,Camarillo,20,Progressive,39,Competitive,12.0,470,60.73,47.27,35.27,Mainstream Dem,12.0
23885,0092052,Ventura,Thousand Oaks,20,Progressive,40,Competitive,3.43,461,58.58,45.06,41.63,Mainstream Dem,3.43
24334,0084031,Ventura,Simi Valley,20,Progressive,43,Competitive,7.12,681,57.46,45.87,38.75,Mainstream Dem,7.12
