precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
20857,9001100A,Los Angeles,Los Angeles,29,Progressive,2692,77.46
20112,2780002A,Los Angeles,Hidden Hills,29,Progressive,1069,81.21
24752,0007032,Ventura,Camarillo,29,Progressive,801,64.78
23891,0092053,Ventura,Thousand Oaks,30,Progressive,460,54.08
19246,1000011A,Los Angeles,Calabasas,30,Progressive,1588,60.99
20892,9005428A,Los Angeles,Los Angeles,30,Progressive,2377,78.63
23968,0039032,Ventura,Moorpark,30,Progressive,445,47.61
24574,0092121,Ventura,Thousand Oaks,30,Progressive,603,51.64
23991,0092094,Ventura,Thousand Oaks,30,Progressive,504,61.3
24168,0044001,Ventura,Unincorporated,30,Progressive,462,69.0
24287,0044011,Ventura,Unincorporated,30,Progressive,664,59.04
19199,9001352A,Los Angeles,Los Angeles,31,Progressive,1997,78.23
24529,0092119,Ventura,Thousand Oaks,31,Progressive,209,68.69
19203,1000015A,Los Angeles,Calabasas,31,Progressive,1930,64.49
19361,9007693D,Los Angeles,Los Angeles,31,Progressive,3095,75.5
20632,0080007A,Los Angeles,Agoura Hills,31,Progressive,2937,67.11
20199,9005923A,Los Angeles,Los Angeles,31,Progressive,1926,
20464,4050051A,Los Angeles,Malibu,31,Progressive,2035,68.65
24395,0084022,Ventura,Simi Valley,31,Progressive,584,60.31
24549,0092117,Ventura,Thousand Oaks,31,Progressive,343,49.84
24687,0005300,Ventura,Unincorporated,31,Progressive,1099,44.55
24579,0092126,Ventura,Thousand Oaks,31,Progressive,259,78.23
24795,0007003,Ventura,Camarillo,32,Progressive,403,54.45
23919,0039022,Ventura,Moorpark,32,Progressive,404,69.39
24260,0084006,Ventura,Simi Valley,32,Progressive,589,67.08
23834,0092000,Ventura,Thousand Oaks,32,Progressive,378,43.54
20469,1000077A,Los Angeles,Calabasas,32,Progressive,1113,
19190,1000016A,Los Angeles,Calabasas,32,Progressive,4016,73.7
23772,0092017,Ventura,Thousand Oaks,33,Progressive,634,57.07
24362,0084012,Ventura,Simi Valley,33,Progressive,643,65.64
24454,0039005,Ventura,Moorpark,33,Progressive,622,53.81
24170,0044003,Ventura,Unincorporated,33,Progressive,504,72.09
23902,0092061,Ventura,Thousand Oaks,33,Progressive,951,62.07
23864,0084099,Ventura,Simi Valley,33,Progressive,690,64.35
24172,0044005,Ventura,Unincorporated,33,Progressive,449,63.36
20685,0080004A,Los Angeles,Agoura Hills,33,Progressive,1950,74.32
20756,4050002A,Los Angeles,Malibu,33,Progressive,1786,73.67
23634,0092103,Ventura,Thousand Oaks,33,Progressive,744,64.35
23973,0092049,Ventura,Thousand Oaks,33,Progressive,222,56.04
24576,0092124,Ventura,Thousand Oaks,33,Progressive,556,55.19
20486,0070008A,Los Angeles,Unincorporated,34,Mainstream,360,
24166,0044000,Ventura,Unincorporated,34,Mainstream,448,59.07
20352,0080050A,Los Angeles,Agoura Hills,34,Mainstream,3482,66.17
23896,0092067,Ventura,Thousand Oaks,34,Mainstream,753,55.63
23990,0092091,Ventura,Thousand Oaks,34,Mainstream,680,69.09
24023,0092080,Ventura,Thousand Oaks,34,Mainstream,536,52.31
24741,0007041,Ventura,Camarillo,34,Mainstream,338,66.14
20393,1000033A,Los Angeles,Calabasas,34,Mainstream,1854,78.6
20282,0080054A,Los Angeles,Agoura Hills,34,Mainstream,1273,67.36
19353,0080070A,Los Angeles,Agoura Hills,34,Mainstream,2542,72.37
23836,0092003,Ventura,Thousand Oaks,34,Mainstream,394,49.32
24537,0092110,Ventura,Thousand Oaks,35,Mainstream,593,53.13
23992,0092093,Ventura,Thousand Oaks,35,Mainstream,588,74.68
24293,0044014,Ventura,Unincorporated,35,Mainstream,672,61.25
24009,0092079,Ventura,Thousand Oaks,35,Mainstream,506,43.63
24459,0039002,Ventura,Moorpark,35,Mainstream,614,53.46
23528,0084101,Ventura,Simi Valley,35,Mainstream,710,53.76
24728,0007029,Ventura,Camarillo,35,Mainstream,470,60.73
24272,0084009,Ventura,Simi Valley,35,Mainstream,869,61.94
24346,0084042,Ventura,Simi Valley,35,Mainstream,592,56.69
24289,0044013,Ventura,Unincorporated,35,Mainstream,571,50.09
24169,0044004,Ventura,Unincorporated,36,Mainstream,570,72.28
24348,0084044,Ventura,Simi Valley,36,Mainstream,528,62.38
24279,0084002,Ventura,Simi Valley,36,Mainstream,903,61.18
20504,7770001A,Los Angeles,Westlake Village,36,Mainstream,632,68.27
24491,0039013,Ventura,Moorpark,36,Mainstream,625,71.19
23511,0084104,Ventura,Simi Valley,36,Mainstream,507,60.37
24011,0092072,Ventura,Thousand Oaks,36,Mainstream,702,69.63
23399,0007002,Ventura,Camarillo,37,Mainstream,669,65.52
24456,0039007,Ventura,Moorpark,37,Mainstream,649,61.29
24138,0099000,Ventura,Unincorporated,37,Mainstream,226,71.36
24156,0044009,Ventura,Unincorporated,37,Mainstream,756,76.12
23800,0092028,Ventura,Thousand Oaks,37,Mainstream,372,61.84
20541,0070005A,Los Angeles,Unincorporated,37,Mainstream,1111,74.11
24373,0084026,Ventura,Simi Valley,37,Mainstream,621,64.54
23787,0084065,Ventura,Simi Valley,37,Mainstream,784,54.43
23996,0092097,Ventura,Thousand Oaks,37,Mainstream,671,58.39
24460,0039001,Ventura,Moorpark,37,Mainstream,599,67.91
24573,0092122,Ventura,Thousand Oaks,37,Mainstream,647,71.41
23904,0092063,Ventura,Thousand Oaks,38,Mainstream,667,71.04
24296,0044016,Ventura,Unincorporated,38,Mainstream,425,62.94
24290,0044012,Ventura,Unincorporated,38,Mainstream,728,72.6
23929,0092037,Ventura,Thousand Oaks,38,Mainstream,807,61.22
24734,0007023,Ventura,Camarillo,38,Mainstream,482,73.23
24760,0007035,Ventura,Camarillo,38,Mainstream,261,56.35
23984,0092041,Ventura,Thousand Oaks,38,Mainstream,735,66.03
24026,0092082,Ventura,Thousand Oaks,38,Mainstream,685,67.17
23907,0092064,Ventura,Thousand Oaks,38,Mainstream,461,69.41
24013,0092074,Ventura,Thousand Oaks,38,Mainstream,777,63.96
23508,0007054,Ventura,Camarillo,39,Mainstream,625,61.41
24254,0084004,Ventura,Simi Valley,39,Mainstream,650,62.98
24335,0084030,Ventura,Simi Valley,39,Mainstream,615,65.87
23764,0092011,Ventura,Thousand Oaks,39,Mainstream,464,61.71
24171,0044006,Ventura,Unincorporated,39,Mainstream,347,69.0
24754,0007031,Ventura,Camarillo,39,Mainstream,336,63.92
24015,0092076,Ventura,Thousand Oaks,39,Mainstream,588,63.95
23798,0092029,Ventura,Thousand Oaks,39,Mainstream,498,68.8
24334,0084031,Ventura,Simi Valley,39,Mainstream,681,57.46
24755,0007034,Ventura,Camarillo,39,Mainstream,602,60.31
23988,0092099,Ventura,Thousand Oaks,39,Mainstream,545,73.27
19149,7770030A,Los Angeles,Westlake Village,40,Mainstream,4588,74.95
24151,0044008,Ventura,Unincorporated,40,Mainstream,726,63.58
23791,0092023,Ventura,Thousand Oaks,40,Mainstream,687,67.45
23789,0084068,Ventura,Simi Valley,40,Mainstream,746,72.07
23796,0092027,Ventura,Thousand Oaks,40,Mainstream,661,68.95
23887,0092051,Ventura,Thousand Oaks,40,Mainstream,901,64.96
23629,0092100,Ventura,Thousand Oaks,40,Mainstream,738,63.44
23866,0084098,Ventura,Simi Valley,40,Mainstream,475,61.1
24551,0092116,Ventura,Thousand Oaks,40,Mainstream,673,67.14
24499,0095006,Ventura,Unincorporated,41,Mainstream,515,70.69
23905,0092062,Ventura,Thousand Oaks,41,Mainstream,840,66.33
24496,0039014,Ventura,Moorpark,41,Mainstream,550,72.28
24361,0084013,Ventura,Simi Valley,41,Mainstream,662,60.35
24534,0092111,Ventura,Thousand Oaks,41,Mainstream,391,68.5
23986,0092043,Ventura,Thousand Oaks,41,Mainstream,655,62.27
23985,0092040,Ventura,Thousand Oaks,41,Mainstream,827,60.57
23927,0092038,Ventura,Thousand Oaks,41,Mainstream,726,56.7
23652,0084078,Ventura,Simi Valley,41,Mainstream,380,62.04
23620,0092107,Ventura,Thousand Oaks,41,Mainstream,716,69.44
23924,0039024,Ventura,Moorpark,41,Mainstream,861,70.07
23783,0084063,Ventura,Simi Valley,41,Mainstream,718,59.83
23903,0092060,Ventura,Thousand Oaks,41,Mainstream,356,68.7
24379,0084028,Ventura,Simi Valley,42,Mainstream,352,40.83
23794,0092025,Ventura,Thousand Oaks,42,Mainstream,632,72.53
24453,0039006,Ventura,Moorpark,42,Mainstream,643,67.82
23768,0092015,Ventura,Thousand Oaks,42,Mainstream,589,69.77
23885,0092052,Ventura,Thousand Oaks,42,Mainstream,461,58.58
24398,0084021,Ventura,Simi Valley,42,Mainstream,596,71.15
23765,0092014,Ventura,Thousand Oaks,42,Mainstream,442,78.69
