precinct_id,srprec,county,city,classification_score,classification,competitive_score,competitive_category,sanders_2020_pct,biden_2020_pct,bloomberg_2020_pct,dem_voters_2020,prop33_yes_pct,total_voters_2024
71740,0070006A,Los Angeles,,69.0,Mainstream,29.7,Not Competitive,25.34,36.47,14.55,584,27.899432278994325,701.0
69276,0092086,Ventura,Thousand Oaks,69.8,Mainstream,94.0,Highly Competitive,25.67,31.04,16.12,335,46.774193548387096,262.0
69260,0092042,Ventura,Thousand Oaks,70.5,Mainstream,39.5,Competitive,21.45,39.64,11.27,275,34.47761194029851,427.0
69262,0092046,Ventura,Thousand Oaks,71.3,Mainstream,67.5,Highly Competitive,25.29,31.84,17.13,870,38.19241982507289,229.0
69287,0092120,Ventura,Thousand Oaks,72.0,Mainstream,25.2,Not Competitive,16.78,41.26,9.09,143,47.40608228980322,266.0
73582,7770001A,Los Angeles,Westlake Village,72.8,Mainstream,60.7,Competitive,23.03,36.93,14.99,547,31.732418524871353,347.0
69266,0092056,Ventura,Thousand Oaks,73.5,Mainstream,31.2,Not Competitive,21.43,43.13,12.91,364,35.604395604395606,277.0
69273,0092072,Ventura,Thousand Oaks,74.3,Mainstream,52.4,Competitive,22.85,37.87,15.18,639,30.37037037037037,373.0
69257,0092034,Ventura,Thousand Oaks,75.1,Mainstream,57.7,Competitive,21.36,37.86,14.08,206,35.41666666666667,248.0
69156,0074000,Ventura,,75.8,Mainstream,5.5,Not Competitive,23.13,38.78,15.83,575,12.893982808022923,192.0
69247,0092008,Ventura,Thousand Oaks,76.6,Mainstream,51.6,Competitive,21.41,38.79,14.55,495,30.758988015978694,396.0
69251,0092016,Ventura,Thousand Oaks,77.3,Mainstream,44.1,Competitive,23.35,34.91,17.69,424,31.41831238779174,345.0
68991,0044000,Ventura,,78.1,Mainstream,8.6,Not Competitive,20.49,40.44,14.48,366,40.93023255813954,267.0
68992,0044004,Ventura,,78.8,Mainstream,25.9,Not Competitive,19.59,41.74,13.83,781,27.717391304347828,348.0
69246,0092006,Ventura,Thousand Oaks,79.6,Moderate,42.6,Competitive,23.02,34.92,18.25,126,32.16216216216216,208.0
74772,9007689A,Los Angeles,Los Angeles,80.4,Mainstream,56.9,Competitive,21.91,39.44,16.74,890,50.0,2266.0
72832,4050051A,Los Angeles,Malibu,81.1,Moderate,32.7,Not Competitive,24.27,36.94,19.17,647,31.34728931830381,1113.0
69281,0092100,Ventura,Thousand Oaks,81.9,Mainstream,24.4,Not Competitive,20.14,40.86,16.57,700,36.55761024182077,430.0
68994,0044012,Ventura,,82.6,Moderate,16.9,Not Competitive,21.53,37.9,18.25,1277,27.395209580838326,364.0
69249,0092012,Ventura,Thousand Oaks,83.4,Mainstream,23.7,Not Competitive,19.22,45.55,15.3,281,23.583460949464012,398.0
74667,9005833A,Los Angeles,Los Angeles,84.1,Mainstream,11.6,Not Competitive,19.89,37.97,17.85,885,37.995337995338,1547.0
69256,0092030,Ventura,Thousand Oaks,84.9,Moderate,28.2,Not Competitive,20.11,39.1,18.42,532,30.69053708439898,278.0
69285,0092112,Ventura,Thousand Oaks,85.6,Moderate,38.8,Competitive,20.32,39.44,18.91,497,31.5035799522673,309.0
