precinct_id,srprec,county,city,classification_score,classification_7cat,competitive_score,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,dem_advantage
23904,0092063,Ventura,Thousand Oaks,28,Moderate Dem-Leaning,96,3.92,667,71.04,44.65,40.73,3.92
20199,9005923A,Los Angeles,Los Angeles,28,Mainstream Dem,70,30.79,1926,,55.82,25.03,30.79
24026,0092082,Ventura,Thousand Oaks,28,Mainstream Dem,87,12.95,685,67.17,47.0,34.05,12.95
23974,0039037,Ventura,Moorpark,28,Moderate Rep-Leaning,98,2.0,710,69.22,38.29,40.29,-2.0
20756,4050002A,Los Angeles,Malibu,28,Mainstream Dem,81,19.31,1786,73.67,49.44,30.13,19.31
24456,0039007,Ventura,Moorpark,28,Moderate Dem-Leaning,93,7.19,649,61.29,43.41,36.23,7.19
19190,1000016A,Los Angeles,Calabasas,28,Mainstream Dem,68,32.29,4016,73.7,58.11,25.83,32.29
24023,0092080,Ventura,Thousand Oaks,28,Mainstream Dem,79,21.6,536,52.31,50.4,28.8,21.6
23907,0092064,Ventura,Thousand Oaks,28,Mainstream Dem,85,15.65,461,69.41,47.33,31.68,15.65
23670,0084070,Ventura,Simi Valley,29,Mainstream Rep,83,17.45,655,63.21,33.22,50.67,-17.45
23866,0084098,Ventura,Simi Valley,29,Moderate Rep-Leaning,95,4.92,475,61.1,38.93,43.85,-4.92
23836,0092003,Ventura,Thousand Oaks,29,Mainstream Dem,79,20.98,394,49.32,50.35,29.37,20.98
23781,0084064,Ventura,Simi Valley,29,Moderate Rep-Leaning,92,8.11,785,69.04,37.42,45.53,-8.11
24345,0084040,Ventura,Simi Valley,29,Mainstream Rep,83,17.09,495,62.72,34.62,51.71,-17.09
23727,0006923,Ventura,Camarillo,29,Moderate Rep-Leaning,97,2.7,138,70.54,43.24,45.95,-2.7
24293,0044014,Ventura,Unincorporated,29,Mainstream Dem,75,24.93,672,61.25,54.2,29.27,24.93
24321,0084037,Ventura,Simi Valley,29,Moderate Rep-Leaning,92,7.92,803,63.19,36.07,43.99,-7.92
24341,0084034,Ventura,Simi Valley,29,Mainstream Rep,88,11.8,541,66.48,37.05,48.85,-11.8
24170,0044003,Ventura,Unincorporated,29,Mainstream Dem,72,28.74,504,72.09,55.94,27.2,28.74
23700,0084085,Ventura,Simi Valley,29,Moderate Rep-Leaning,93,6.87,757,61.12,36.72,43.58,-6.87
24502,0095005,Ventura,Unincorporated,29,Moderate Rep-Leaning,93,6.84,398,75.0,37.18,44.02,-6.84
23783,0084063,Ventura,Simi Valley,29,Moderate Rep-Leaning,98,1.98,718,59.83,40.23,42.21,-1.98
24018,0092088,Ventura,Thousand Oaks,29,Moderate Dem-Leaning,98,2.49,935,69.02,42.53,40.04,2.49
24014,0092073,Ventura,Thousand Oaks,29,Moderate Rep-Leaning,97,2.59,805,68.04,39.24,41.83,-2.59
23994,0092095,Ventura,Thousand Oaks,29,Mainstream Rep,84,16.39,657,71.68,32.78,49.17,-16.39
23918,0092034,Ventura,Thousand Oaks,29,Moderate Rep-Leaning,93,7.26,452,64.58,35.89,43.15,-7.26
24009,0092079,Ventura,Thousand Oaks,29,Mainstream Dem,68,32.43,506,43.63,55.14,22.7,32.43
24740,0007026,Ventura,Camarillo,29,Moderate Rep-Leaning,92,7.64,357,69.79,38.22,45.86,-7.64
