precinct_id,srprec,county,city,classification_score,classification_category,competitive_score,competitive_category,dem_rep_margin,total_voters,prop_33_no_pct,dem_turnout_pct,rep_turnout_pct,classification_7cat
23939,0092031,Ventura,Thousand Oaks,27.0,Progressive,84.0,Highly Competitive,15.86,374.0,47.49,45.52,29.66,Mainstream Dem
23891,0092053,Ventura,Thousand Oaks,27.0,Progressive,72.0,Highly Competitive,28.65,460.0,54.08,54.05,25.41,Mainstream Dem
24395,0084022,Ventura,Simi Valley,27.0,Progressive,95.0,Highly Competitive,5.53,584.0,60.31,40.0,45.53,Moderate Rep-Leaning
19704,1000006A,Los Angeles,Calabasas,27.0,Progressive,68.0,Highly Competitive,32.55,1023.0,,57.58,25.02,Mainstream Dem
20760,9001364A,Los Angeles,Los Angeles,27.0,Progressive,62.0,Competitive,38.43,1728.0,,61.11,22.69,Mainstream Dem
20857,9001100A,Los Angeles,Los Angeles,27.0,Progressive,72.0,Highly Competitive,28.28,2692.0,77.46,54.04,25.76,Mainstream Dem
24741,0007041,Ventura,Camarillo,27.0,Progressive,74.0,Highly Competitive,26.01,338.0,66.14,28.9,54.91,MAGA Rep
20658,9001367B,Los Angeles,Los Angeles,27.0,Progressive,66.0,Competitive,34.12,3917.0,83.04,58.33,24.21,Mainstream Dem
20254,4050059B,Los Angeles,Malibu,27.0,Progressive,73.0,Highly Competitive,27.68,2171.0,70.75,53.77,26.09,Mainstream Dem
24449,0090005,Ventura,Simi Valley,27.0,Progressive,100.0,Highly Competitive,0.0,22.0,59.09,50.0,50.0,Moderate Rep-Leaning
19317,4060005A,Los Angeles,Unincorporated,28.0,Progressive,59.0,Competitive,41.43,150.0,65.69,57.14,15.71,Mainstream Dem
24362,0084012,Ventura,Simi Valley,28.0,Progressive,83.0,Highly Competitive,17.58,643.0,65.64,32.81,50.39,Mainstream Rep
24260,0084006,Ventura,Simi Valley,28.0,Progressive,99.0,Highly Competitive,1.09,589.0,67.08,38.55,37.45,Moderate Dem-Leaning
24574,0092121,Ventura,Thousand Oaks,28.0,Progressive,84.0,Highly Competitive,15.93,603.0,51.64,47.79,31.86,Mainstream Dem
23592,0086005,Ventura,Unincorporated,28.0,Progressive,71.0,Highly Competitive,29.73,61.0,91.67,27.03,56.76,MAGA Rep
19246,1000011A,Los Angeles,Calabasas,28.0,Progressive,80.0,Highly Competitive,20.59,1588.0,60.99,50.22,29.63,Mainstream Dem
23919,0039022,Ventura,Moorpark,28.0,Progressive,97.0,Highly Competitive,3.04,404.0,69.39,38.26,41.3,Moderate Rep-Leaning
20892,9005428A,Los Angeles,Los Angeles,28.0,Progressive,79.0,Highly Competitive,21.1,2377.0,78.63,50.29,29.19,Mainstream Dem
23968,0039032,Ventura,Moorpark,28.0,Progressive,79.0,Highly Competitive,21.3,445.0,47.61,54.44,33.14,Mainstream Dem
23991,0092094,Ventura,Thousand Oaks,28.0,Progressive,80.0,Highly Competitive,20.3,504.0,61.3,51.29,31.0,Mainstream Dem
24168,0044001,Ventura,Unincorporated,28.0,Progressive,85.0,Highly Competitive,15.58,462.0,69.0,51.45,35.87,Mainstream Dem
24529,0092119,Ventura,Thousand Oaks,28.0,Progressive,88.0,Highly Competitive,12.5,209.0,68.69,50.83,38.33,Mainstream Dem
24287,0044011,Ventura,Unincorporated,29.0,Progressive,67.0,Highly Competitive,33.33,664.0,59.04,58.17,24.84,Mainstream Dem
19199,9001352A,Los Angeles,Los Angeles,29.0,Progressive,69.0,Highly Competitive,30.92,1997.0,78.23,56.18,25.26,Mainstream Dem
24795,0007003,Ventura,Camarillo,29.0,Progressive,80.0,Highly Competitive,19.87,403.0,54.45,50.0,30.13,Mainstream Dem
20464,4050051A,Los Angeles,Malibu,29.0,Progressive,81.0,Highly Competitive,19.68,2035.0,68.65,50.58,30.91,Mainstream Dem
20199,9005923A,Los Angeles,Los Angeles,29.0,Progressive,70.0,Highly Competitive,30.79,1926.0,,55.82,25.03,Mainstream Dem
20469,1000077A,Los Angeles,Calabasas,29.0,Progressive,82.0,Highly Competitive,18.6,1113.0,,50.49,31.9,Mainstream Dem
20632,0080007A,Los Angeles,Agoura Hills,29.0,Progressive,76.0,Highly Competitive,24.11,2937.0,67.11,52.34,28.23,Mainstream Dem
24085,0005000,Ventura,Unincorporated,29.0,Progressive,1.0,Not Competitive,100.0,9.0,,100.0,0.0,Mainstream Dem
23834,0092000,Ventura,Thousand Oaks,29.0,Progressive,72.0,Highly Competitive,28.09,378.0,43.54,55.62,27.53,Mainstream Dem
23990,0092091,Ventura,Thousand Oaks,29.0,Progressive,95.0,Highly Competitive,5.25,680.0,69.09,45.03,39.78,Moderate Dem-Leaning
19361,9007693D,Los Angeles,Los Angeles,29.0,Progressive,69.0,Highly Competitive,31.65,3095.0,75.5,56.58,24.93,Mainstream Dem
24576,0092124,Ventura,Thousand Oaks,29.0,Progressive,90.0,Highly Competitive,10.33,556.0,55.19,42.56,32.23,Mainstream Dem
24549,0092117,Ventura,Thousand Oaks,29.0,Progressive,68.0,Highly Competitive,32.7,343.0,49.84,57.86,25.16,Mainstream Dem
19203,1000015A,Los Angeles,Calabasas,29.0,Progressive,91.0,Highly Competitive,9.24,1930.0,64.49,43.72,34.48,Moderate Dem-Leaning
20765,0070041B,Los Angeles,Unincorporated,29.0,Progressive,85.0,Highly Competitive,15.49,149.0,72.86,50.7,35.21,Mainstream Dem
24454,0039005,Ventura,Moorpark,30.0,Progressive,92.0,Highly Competitive,7.98,622.0,53.81,45.07,37.09,Moderate Dem-Leaning
24491,0039013,Ventura,Moorpark,30.0,Progressive,91.0,Highly Competitive,8.67,625.0,71.19,36.13,44.8,Moderate Rep-Leaning
23511,0084104,Ventura,Simi Valley,30.0,Progressive,92.0,Highly Competitive,8.51,507.0,60.37,38.72,47.23,Moderate Rep-Leaning
24272,0084009,Ventura,Simi Valley,30.0,Progressive,84.0,Highly Competitive,16.58,869.0,61.94,35.05,51.63,Mainstream Rep
23772,0092017,Ventura,Thousand Oaks,30.0,Progressive,88.0,Highly Competitive,12.18,634.0,57.07,46.13,33.95,Mainstream Dem
23634,0092103,Ventura,Thousand Oaks,30.0,Progressive,76.0,Highly Competitive,24.42,744.0,64.35,52.33,27.91,Mainstream Dem
23973,0092049,Ventura,Thousand Oaks,30.0,Progressive,78.0,Highly Competitive,22.73,222.0,56.04,53.03,30.3,Mainstream Dem
23902,0092061,Ventura,Thousand Oaks,30.0,Progressive,77.0,Highly Competitive,23.68,951.0,62.07,52.64,28.96,Mainstream Dem
24687,0005300,Ventura,Unincorporated,30.0,Progressive,63.0,Competitive,37.59,1099.0,44.55,60.2,22.6,Mainstream Dem
20486,0070008A,Los Angeles,Unincorporated,30.0,Progressive,89.0,Highly Competitive,10.83,360.0,,45.0,34.17,Mainstream Dem
20685,0080004A,Los Angeles,Agoura Hills,30.0,Progressive,77.0,Highly Competitive,23.01,1950.0,74.32,53.07,30.06,Mainstream Dem
19190,1000016A,Los Angeles,Calabasas,30.0,Progressive,68.0,Highly Competitive,32.29,4016.0,73.7,58.11,25.83,Mainstream Dem
20352,0080050A,Los Angeles,Agoura Hills,31.0,Progressive,83.0,Highly Competitive,17.24,3482.0,66.17,49.78,32.54,Mainstream Dem
20504,7770001A,Los Angeles,Westlake Village,31.0,Progressive,91.0,Highly Competitive,8.93,632.0,68.27,45.24,36.31,Moderate Dem-Leaning
23896,0092067,Ventura,Thousand Oaks,31.0,Progressive,76.0,Highly Competitive,24.23,753.0,55.63,51.53,27.3,Mainstream Dem
24699,0005311,Ventura,Unincorporated,31.0,Progressive,100.0,Highly Competitive,0.0,4.0,,0.0,0.0,Competitive/Swing
20756,4050002A,Los Angeles,Malibu,31.0,Progressive,81.0,Highly Competitive,19.31,1786.0,73.67,49.44,30.13,Mainstream Dem
20393,1000033A,Los Angeles,Calabasas,31.0,Progressive,84.0,Highly Competitive,16.2,1854.0,78.6,48.61,32.4,Mainstream Dem
23992,0092093,Ventura,Thousand Oaks,31.0,Progressive,99.0,Highly Competitive,1.02,588.0,74.68,40.68,41.69,Competitive/Swing
20282,0080054A,Los Angeles,Agoura Hills,31.0,Progressive,86.0,Highly Competitive,14.47,1273.0,67.36,46.7,32.23,Mainstream Dem
24011,0092072,Ventura,Thousand Oaks,31.0,Progressive,96.0,Highly Competitive,4.29,702.0,69.63,44.77,40.48,Moderate Dem-Leaning
24023,0092080,Ventura,Thousand Oaks,31.0,Progressive,79.0,Highly Competitive,21.6,536.0,52.31,50.4,28.8,Mainstream Dem
24348,0084044,Ventura,Simi Valley,31.0,Progressive,92.0,Highly Competitive,8.45,528.0,62.38,36.62,45.07,Moderate Rep-Leaning
19353,0080070A,Los Angeles,Agoura Hills,31.0,Progressive,78.0,Highly Competitive,22.24,2542.0,72.37,51.88,29.64,Mainstream Dem
19017,4060012A,Los Angeles,Unincorporated,31.0,Progressive,92.0,Highly Competitive,8.33,175.0,71.9,44.79,36.46,Moderate Dem-Leaning
24537,0092110,Ventura,Thousand Oaks,31.0,Progressive,77.0,Highly Competitive,23.16,593.0,53.13,54.8,31.64,Mainstream Dem
