precinct_id,srprec,county,city,classification_score,classification_category,total_voters,prop_33_no_pct
20857,9001100A,Los Angeles,Los Angeles,27.0,Progressive,2692.0,77.46
24741,0007041,Ventura,Camarillo,27.0,Progressive,338.0,66.14
20658,9001367B,Los Angeles,Los Angeles,27.0,Progressive,3917.0,83.04
20254,4050059B,Los Angeles,Malibu,27.0,Progressive,2171.0,70.75
24449,0090005,Ventura,Simi Valley,27.0,Progressive,22.0,59.09
19317,4060005A,Los Angeles,Unincorporated,28.0,Progressive,150.0,65.69
24362,0084012,Ventura,Simi Valley,28.0,Progressive,643.0,65.64
24260,0084006,Ventura,Simi Valley,28.0,Progressive,589.0,67.08
24574,0092121,Ventura,Thousand Oaks,28.0,Progressive,603.0,51.64
23592,0086005,Ventura,Unincorporated,28.0,Progressive,61.0,91.67
19246,1000011A,Los Angeles,Calabasas,28.0,Progressive,1588.0,60.99
23919,0039022,Ventura,Moorpark,28.0,Progressive,404.0,69.39
20892,9005428A,Los Angeles,Los Angeles,28.0,Progressive,2377.0,78.63
23968,0039032,Ventura,Moorpark,28.0,Progressive,445.0,47.61
23991,0092094,Ventura,Thousand Oaks,28.0,Progressive,504.0,61.3
24168,0044001,Ventura,Unincorporated,28.0,Progressive,462.0,69.0
24529,0092119,Ventura,Thousand Oaks,28.0,Progressive,209.0,68.69
24287,0044011,Ventura,Unincorporated,29.0,Progressive,664.0,59.04
19199,9001352A,Los Angeles,Los Angeles,29.0,Progressive,1997.0,78.23
24795,0007003,Ventura,Camarillo,29.0,Progressive,403.0,54.45
20464,4050051A,Los Angeles,Malibu,29.0,Progressive,2035.0,68.65
20199,9005923A,Los Angeles,Los Angeles,29.0,Progressive,1926.0,
20469,1000077A,Los Angeles,Calabasas,29.0,Progressive,1113.0,
20632,0080007A,Los Angeles,Agoura Hills,29.0,Progressive,2937.0,67.11
24085,0005000,Ventura,Unincorporated,29.0,Progressive,9.0,
23834,0092000,Ventura,Thousand Oaks,29.0,Progressive,378.0,43.54
23990,0092091,Ventura,Thousand Oaks,29.0,Progressive,680.0,69.09
19361,9007693D,Los Angeles,Los Angeles,29.0,Progressive,3095.0,75.5
24576,0092124,Ventura,Thousand Oaks,29.0,Progressive,556.0,55.19
24549,0092117,Ventura,Thousand Oaks,29.0,Progressive,343.0,49.84
19203,1000015A,Los Angeles,Calabasas,29.0,Progressive,1930.0,64.49
20765,0070041B,Los Angeles,Unincorporated,29.0,Progressive,149.0,72.86
24454,0039005,Ventura,Moorpark,30.0,Progressive,622.0,53.81
24491,0039013,Ventura,Moorpark,30.0,Progressive,625.0,71.19
23511,0084104,Ventura,Simi Valley,30.0,Progressive,507.0,60.37
24272,0084009,Ventura,Simi Valley,30.0,Progressive,869.0,61.94
23772,0092017,Ventura,Thousand Oaks,30.0,Progressive,634.0,57.07
23634,0092103,Ventura,Thousand Oaks,30.0,Progressive,744.0,64.35
23973,0092049,Ventura,Thousand Oaks,30.0,Progressive,222.0,56.04
23902,0092061,Ventura,Thousand Oaks,30.0,Progressive,951.0,62.07
24687,0005300,Ventura,Unincorporated,30.0,Progressive,1099.0,44.55
20486,0070008A,Los Angeles,Unincorporated,30.0,Progressive,360.0,
20685,0080004A,Los Angeles,Agoura Hills,30.0,Progressive,1950.0,74.32
19190,1000016A,Los Angeles,Calabasas,30.0,Progressive,4016.0,73.7
20352,0080050A,Los Angeles,Agoura Hills,31.0,Progressive,3482.0,66.17
20504,7770001A,Los Angeles,Westlake Village,31.0,Progressive,632.0,68.27
23896,0092067,Ventura,Thousand Oaks,31.0,Progressive,753.0,55.63
24699,0005311,Ventura,Unincorporated,31.0,Progressive,4.0,
20756,4050002A,Los Angeles,Malibu,31.0,Progressive,1786.0,73.67
20393,1000033A,Los Angeles,Calabasas,31.0,Progressive,1854.0,78.6
23992,0092093,Ventura,Thousand Oaks,31.0,Progressive,588.0,74.68
20282,0080054A,Los Angeles,Agoura Hills,31.0,Progressive,1273.0,67.36
24011,0092072,Ventura,Thousand Oaks,31.0,Progressive,702.0,69.63
24023,0092080,Ventura,Thousand Oaks,31.0,Progressive,536.0,52.31
24348,0084044,Ventura,Simi Valley,31.0,Progressive,528.0,62.38
19353,0080070A,Los Angeles,Agoura Hills,31.0,Progressive,2542.0,72.37
19017,4060012A,Los Angeles,Unincorporated,31.0,Progressive,175.0,71.9
24537,0092110,Ventura,Thousand Oaks,31.0,Progressive,593.0,53.13
24573,0092122,Ventura,Thousand Oaks,31.0,Progressive,647.0,71.41
23528,0084101,Ventura,Simi Valley,31.0,Progressive,710.0,53.76
24172,0044005,Ventura,Unincorporated,31.0,Progressive,449.0,63.36
24170,0044003,Ventura,Unincorporated,31.0,Progressive,504.0,72.09
24346,0084042,Ventura,Simi Valley,31.0,Progressive,592.0,56.69
24373,0084026,Ventura,Simi Valley,31.0,Progressive,621.0,64.54
